Kode,Nama,Harga + Pajak,Type Brg,Harga,S Akhir
SFMX-EA426-XX-KGX,MOTOR ASSY EF 16 INCH (SS 16 MM) GG CAP 1.8 MF,Rp122.100,,110000,2
SFMX-EA427-XX-KGX,MOTOR ASSY EF 1606 X (GG) CAP 1.8 MF,Rp164.280,,148000,2
SFMX-EA458-XX-KGX,MOTOR ASSY KST-18 RC (UM) DB,Rp216.450,,195000,11
SFMX-EA469-XX-KGX,MOTOR ASSY KDB-18 (SD) FRAME HY WITH ALUMINIUM GEARBOX,Rp208.680,,188000,5
SFMX-EA480-XX-KGX,MOTOR ASSY KSB-18 (SD),Rp222.000,,200000,5
SFMX-MX128-XX-KGX,HANGER T (B),Rp6.660,,6000,10
SFMX-MX222-XX-KGX,HANGER 1662,Rp6.660,,6000,13
SFMX-PX018-BK-KGX,GRILLE HOLDER (BLACK),Rp6.660,,6000,2
SFMX-PX022-DB-KGX,BLADE (DARK BLUE),Rp13.320,,12000,10
SFMX-PX022-DG-KGX,BLADE (DARK GREY),Rp13.320,,12000,5
SFMX-PX022-GR-KGX,BLADE (GREEN),Rp13.320,,12000,5
SFMX-PX029-BK-KGX,OSCILATOR KNOB (SP) BLACK,Rp6.660,,6000,2
SFMX-PX029-WC-KGX,OSCILATOR KNOB (SP) WHITE CR,Rp6.660,,6000,2
SFMX-PX299-DB-KGX,BLADE 927 (B) DARK BLUE,Rp6.660,,6000,2
SFMX-PX432-BK-KGX,PIPE ADJUSTER PP (BLACK),Rp6.660,,6000,4
SFMX-PX453-BK-KGX,OSCILATOR KNOB KST-18 RC (CF),Rp6.660,,6000,4
SFMX-PX473-WH-KGX,FRONT BODY 1618 PD (WHITE),Rp16.650,,15000,9
SFMX-PX474-WH-KGX,BACK BODY 1618 PD (WHITE),Rp6.660,,6000,6
SFMX-PX477-XX-KGX,BLADE HOLDER 927 (D),Rp6.660,,6000,7
SFMX-PX478-BK-KGX,BLADE HOLDER 16 (B) BLACK,Rp6.660,,6000,8
SFMX-PX480-WH-KGX,PIPE LOCK (C) WHITE,Rp6.660,,6000,4
SFMX-PX495-BK-KGX,NECK 18 INCH (B) BLACK,Rp11.100,,10000,9
SMXX-AX038-XX-KGX,DOUGH HOOK 620 FLAT WITH GEAR (DW) R3 (RIGHT THREAD DIRECTION),Rp13.320,,12000,2
SMXX-AX049-WH-KGX,LEFT HOUSING 625 (B) WITH HOT PRINT LABEL,Rp17.760,,16000,26
SMXX-AX069-XX-KGX,MOTOR MIXER ASSY 610 WITH SOCKET,Rp107.226,,96600,9
SMXX-AX072-YL-KGX,TOTAL ROTARY SWITCH ASSY 620 (YELLOW) SOCKET,Rp16.650,,15000,1
SMXX-AX074-XX-KGX,BEATER 620 WITH GEAR (YK),Rp11.100,,10000,5
SMXX-MX075-XX-KGX,DOUGH HOOK 620 FLAT (DW) (LEFT THREAD DIRECTION),Rp13.320,,12000,4
SMXX-MX088-XX-KGX,BEATER 620 (YK),Rp16.650,,15000,3
SMXX-PX025-YL-KGX,EJECT BUTTON 625 (YELLOW),Rp6.660,,6000,2
SMXX-PX108-WH-KGX,MOTOR GEAR 625 (+) WHITE,Rp6.660,,6000,15
SMXX-PX116-WH-KGX,RIGHT HOUSING 625 (B),Rp13.320,,12000,14
WDXX-AX056-XX-KGX,DRAIN CAP ASSY 389,Rp6.660,,6000,2
WDXX-AX218-BL-KGX,BLUE WATER TAP BODY,Rp11.100,,10000,11
WDXX-AX218-GR-KGX,GREEN WATER TAP BODY,Rp11.100,,10000,2
WDXX-AX218-PK-KGX,PINK WATER TAP BODY,Rp11.100,,10000,11
WDXX-AX218-RD-KGX,RED WATER TAP BODY,Rp11.100,,10000,7
WDXX-AX219-BL-KGX,BLUE PUSH WATER TAP BODY,Rp11.100,,10000,7
WDXX-AX219-GR-KGX,GREEN PUSH WATER TAP BODY,Rp11.100,,10000,12
WDXX-AX219-RD-KGX,RED PUSH WATER TAP BODY,Rp11.100,,10000,4
WDXX-AX222-XX-KGX,WATER SENSOR C ASSY,Rp27.750,,25000,5
WDXX-AX226-BK-KGX,BLACK PUSH KNOB (RIGHT) ASSY,Rp6.660,,6000,3
WDXX-AX227-BK-KGX,BLACK PUSH KNOB (LEFT) ASSY,Rp6.660,,6000,3
WDXX-AX231-XX-KGX,TOTAL WATER CONNECTING ASSY,Rp66.600,,60000,3
WDXX-AX289-XX-KGX,TANK ASSY (X) ROLL NO THERMOSTAT (LOWER),Rp33.700,,30360,3
WDXX-AX294-BL-KGX,BLUE WATER TAP ASSY (E) 2,Rp11.100,,10000,3
WDXX-AX294-RD-KGX,RED WATER TAP ASSY (E) 2,Rp11.100,,10000,13
WDXX-AX308-LM-KGX,PUMP ASSY WDP (LMZ),Rp81.696,,73600,5
WDXX-AX311-BL-KGX,BLUE PUSH WATER TAP ASSY (F),Rp11.100,,10000,22
WDXX-AX311-RD-KGX,RED PUSH WATER TAP ASSY (F),Rp11.100,,10000,7
WDXX-AX312-XX-KGX,WATER TAP LEFT FOR WDP (B),Rp11.100,,10000,7
WDXX-AX313-XX-KGX,WATER TAP RIGHT FOR WDP (B),Rp11.100,,10000,14
WDXX-AX319-XX-KGX,WATER PIPE ASSY WDP,Rp11.100,,10000,9
WDXX-EA143-GR-KGX,POWER SWITCH ASSY (TDA) GREEN,Rp6.660,,6000,15
WDXX-EA143-RD-KGX,POWER SWITCH ASSY (TDA) RED,Rp6.660,,6000,5
WDXX-EA213-XX-KGX,POWER SWITCH (BLUE),Rp6.660,,6000,5
WDXX-EA318-XX-KGX,PCB ASSY WD-185 H (R1),Rp13.320,,12000,5
WDXX-EA327-XX-KGX,PCB ASSY WDP-300 (R2),Rp22.200,,20000,5
WDXX-EA337-TP-KGX,THERMOSTAT ASSY 86N 250V 10A (TP),Rp11.100,,10000,5
WDXX-EA351-XX-KGX,SWITCH  AND  ELECTRICAL SOURCE (D),Rp55.500,,50000,3
WDXX-EA354-XX-KGX,MAIN PCB FOR WDP-300 (D),Rp67.710,,61000,27
WDXX-EA389-XX-KGX,COOLING ELEMENT WDP (B),Rp77.700,,70000,27
WDXX-EA398-XX-KGX,PCB ASSY WD HOT AND NORMAL (A),Rp13.320,,12000,5
WDXX-EA404-NL-KGX,FAN ASSY WDP (R4) NL,Rp16.650,,15000,4
WDXX-EX002-XX-KGX,SILICONE TUBE B,Rp6.660,,6000,5
WDXX-EX005-XX-KGX,SILICONE TUBE E,Rp6.660,,6000,5
WDXX-EX008-XX-KGX,DRAIN COVER,Rp6.660,,6000,7
WDXX-EX033-XX-KGX,SILICONE TUBE Q,Rp11.100,,10000,4
WDXX-EX039-XX-KGX,SILICONE DRAIN CAP,Rp6.660,,6000,5
WDXX-EX049-XX-KGX,SILICONE B1,Rp6.660,,6000,5
WDXX-EX068-XX-KGX,SUB SILICONE TUBE C1,Rp6.660,,6000,3
WDXX-EX069-XX-KGX,SUB SILICONE TUBE C2,Rp6.660,,6000,5
WDXX-EX070-XX-KGX,SILICONE TUBE U1,Rp6.660,,6000,4
WDXX-EX086-XX-KGX,SILICONE TUBE W,Rp6.660,,6000,5
WDXX-EX108-XX-KGX,SILICONE DRAIN CAP (A),Rp6.660,,6000,5
WDXX-EX113-XX-KGX,SILICONE TUBE V (B),Rp6.660,,6000,5
WDXX-EX131-XX-KGX,SILICONE TUBE I1,Rp6.660,,6000,7
WDXX-EX134-XX-KGX,SILICONE I2,Rp11.100,,10000,9
WDXX-EX135-XX-KGX,SILICONE TUBE V (C),Rp6.660,,6000,6
WDXX-EX152-XX-KGX,SILICONE TUBE T5,Rp6.660,,6000,5
WDXX-EX153-XX-KGX,SILICONE J2,Rp6.660,,6000,6
WDXX-EX187-XX-KGX,SILICONE TUBE E 329,Rp6.660,,6000,6
WDXX-EX190-XX-KGX,SILICONE TUBE T5 185,Rp6.660,,6000,10
WDXX-EX191-XX-KGX,SILICONE TUBE W 185,Rp6.660,,6000,5
WDXX-MX026-XX-KGX,HINGE DOOR 389 (B),Rp6.660,,6000,1
WDXX-MX048-XX-KGX,HINGE DOOR 389 (A1),Rp6.660,,6000,2
WDXX-PX012-GR-KGX,PUNCHER 189 (GREEN),Rp11.100,,10000,2
WDXX-PX012-RD-KGX,PUNCHER 189 (RED),Rp11.100,,10000,1
WDXX-PX017-GR-KGX,RESERVOIR GRILLE 189 (GREEN),Rp6.660,,6000,2
WDXX-PX018-GR-KGX,RESERVOIR 189 (GREEN),Rp6.660,,6000,2
WDXX-PX049-BL-KGX,RESERVOIR 290 (BLUE),Rp6.660,,6000,2
WDXX-PX050-BL-KGX,RESERVOIR GRILLE 290 (BLUE),Rp6.660,,6000,19
WDXX-PX056-XX-KGX,PLASTIC PIPE (J),Rp6.660,,6000,2154
WDXX-PX196-XX-KGX,UNSPILLING COVER (B),Rp6.660,,6000,
WDXX-PX219-LG-KGX,FRONT PANEL 300 (LIGHT GREY),Rp22.200,,20000,S Akhir
WDXX-PX248-WH-KGX,TOP BODY 189 (WHITE) WITH LABEL,Rp42.890,,38640,3
WDXX-PX259-WH-KGX,TOP BODY 190 (P) WHITE,Rp22.200,,20000,11
WDXX-PX280-BK-KGX,BOTTOM COVER 300 (PP) BLACK,Rp29.970,,27000,2
WDXX-PX281-XX-KGX,BOTTOM COVER 300 (AB) PP,Rp29.970,,27000,12
WDXX-PX385-WH-KGX,TOP BODY 189 (C) WHITE,Rp34.965,,31500,3
WDXX-PX386-WH-KGX,TOP BODY 190 (C) WHITE,Rp22.200,,20000,8
WDXX-PX387-XX-KGX,PLASTIC PIPE WD DIA. 6.5 X 220 MM,Rp6.660,,6000,6
2RSP-23,HOSE END,Rp22.200,,20000,11
B2A109-2,BURNER ASSY (TTC) RI-712 NEW,Rp32.745,,29500,7
B2A117-6-2X03,ELECTRODE,Rp11.100,,10000,5
B2A76-2,BIG BURNER ASSY (RT-5/RT-7),Rp29.970,,27000,8
B2A76-7,BURNER SUPPORT SPRING (RT-5/RT-7),Rp6.660,,6000,5
B2A78-2,SMALL BURNER ASSY (RT-5/RT-7),Rp27.750,,25000,4
B2A96-1,BURNER HEAD (BIG DIA. 114),Rp95.993,,86480,4
B2A99-1,BURNER HEAD (TTC DIA. 110),Rp83.738,,75440,3
B2A99-8X02,SIMMER BURNER HEAD (TTC),Rp26.640,,24000,4
B2A99-9-5,SIMMER BURNER VENTURY ASSY (TTC) RI-6/52 (SUS),Rp21.090,,19000,4
B2A99-9-6,SIMMER BURNER VENTURY ASSY (TTC) RI-511 (SUS),Rp21.090,,19000,3
B2A99-9-7,SIMMER BURNER VENTURY ASSY (RI-712) SUS,Rp17.760,,16000,3
B2B103-2-2X01,SIMMER BURNER HEAD (CERAMIC COAT RB-2SS),Rp23.865,,21500,3
B2B103-3-2X01-2PL,H BURNER DIA. 151 (PLATING) DIA. 9,Rp215.473,,194120,2
B2B104-1-2X04,BURNER HEAD (H CERAMIC COAT RDB-22),Rp150.116,,135240,2
B2B146-02S,SIMMER BURNER HEAD (RB-7503D),Rp49.018,,44160,2
B2B148-01-EM,H BURNER CAP RB-712/713 (ENAMEL MATT),Rp27.750,,25000,2
B2B148-02-EM,SIMMER BURNER CAP H (ENAMEL MATT),Rp14.430,,13000,2
B2B148-03X08,BURNER BODY ASSY (H SEMI DOUBLE RING),Rp159.307,,143520,0
B2B149-01-EM,SMALL BURNER CAP ASSY (ENAMEL MATT),Rp27.750,,25000,2
B2B149-04X03,BURNER BODY (ASSY S),Rp60.251,,54280,4
B2B149-05X01,NOZZLE HOLDER S (FOR S BURNER),Rp57.187,,51520,10
B2B153-01SX02,BURNER HEAD (H RB-7502/7503D),Rp153.180,,138000,3
B2B153-03S,BURNER BODY ASSY (H RB-7502/7503D),Rp151.138,,136160,9
B62-TY01-025-XX1,LAMP (LED) RH-126/127/229,Rp55.500,,50000,2
C10A-84S-2X02,THERMOCOUPLE ASSY L = 450,Rp47.996,,43240,13
C114K-3-5,SV GAS VALVE ASSY (SV LPG 2P),Rp173.604,,156400,5
C5Q-1-1-TAX02-0.88,"GAS VALVE SINGLE TOTAL ASSY DIA. 0,88 LPG",Rp94.350,,85000,10
C5Q-1-3-TAx02-0.88,"GAS VALVE SINGLE TOTAL ASSY DIA. 0,88 LPG",Rp94.350,,85000,17
C5Q-2-1-TA-1-0.95/0.35,"GAS VALVE DOUBLE TOTAL ASSY DIA. 0,95/0,35",Rp99.900,,90000,10
C5Q-3-1-TA-2x01-0.95,"GAS VALVE SINGLE TOTAL ASSY DIA. 0,95",Rp96.570,,87000,5
C5Q-4-1-TATX01-0.95/0.35,"GAS VALVE DOUBLE TOTAL ASSY DIA. 0,95/0,35",Rp113.220,,102000,4
C5Q-4-3-TATx01-0.95/0.35,"GAS VALVE DOUBLE TOTAL ASSY DIA. 0,95/0,35",Rp113.220,,102000,5
CP-21661-1X02,REGULATOR BIG,Rp8.880,,8000,2
CP-21661-2X02,REGULATOR SMALL,Rp8.880,,8000,5
CP-50188,ELECTRODE (RT5/RT7),Rp6.660,,6000,4
CP-60063-0.88,"MAIN NOZZLE DIA. 0,88 F/SMALL BURNER LPG",Rp11.100,,10000,4
CP-90003-2X01,BATTERY (BESAR),Rp15.540,,14000,4
CP-90101-1X02,BATTERY (SEDANG),Rp11.100,,10000,2
CP-90382X02,BATTERY BOX ASSY (RH-902/904),Rp11.100,,10000,3
EI-194,SPARKER (SRDB-93),Rp112.332,,101200,3
EI-203,SPARKER (RB-2EH),Rp112.332,,101200,2
HE15-24A.L290,ELECTRODE ASSY,Rp12.210,,11000,2
HE15-24A.L700,ELECTRODE ASSY,Rp15.540,,14000,1
HS084A1-1-08-Y1,VENTURY BURNER (H),Rp109.268,,98440,4
HS105A2.0(Y.T)-A,BURNER BODY (H),Rp101.099,,91080,2
HS105A3-1-A,BURNER (CAP H),Rp75.569,,68080,2
HS105A4-1-A,BURNER (CAP SIMMER H),Rp33.300,,30000,4
HS105B2-1-A(Y.T),BURNER BODY (S),Rp49.018,,44160,2
HS105B3-1-A,BURNER (CAP S),Rp49.018,,44160,2
HZQ288A1-14-00A,KNOB ASSY (BAKELITE),Rp33.300,,30000,2
R04/4300200100,MICROSWITCH ASSY REU-5CFB,Rp25.530,,23000,2
R04/4300400008,MAGNET VALVE REU-10CF,Rp63.270,,57000,2
R04/4500401141,CONTROL BOX REU-5CFM,Rp107.670,,97000,2
R04/4500402014,CONTROL BOX WITH 20MINS TIMER REU-5CFC,Rp133.200,,120000,1
R04/4700606228,GAS WATER VALVE ASSY REU-5CFM,Rp285.270,,257000,1
R04/4700700091,MEMBRANE (SILICON) REU-5CFB,Rp77.700,,70000,1
R04/4700700510,SMALL SHAFT NUT REU 5CFC,Rp12.210,,11000,1
R07/G-44990-2X01-T,THERMO ELEMENT RR-50A,Rp174.270,,157000,2
R07/KAA-0002,KEEP WARM KNOB RR-50 A,Rp25.530,,23000,2
R07/KBN-0001,PILOT ADAPTOR RR-50,Rp35.742,,32200,1
R07/KJA-0002,IGNITION KNOB ASSY RR-50A,Rp35.742,,32200,2
R07/KJD-0001,IGNITION LEVER RR-50A,Rp88.334,,79580,0
R07/KQD-0001-1,SHUT OFF SPINDLE ASSY RR-50A,Rp149.850,,135000,4
R07/KSA-0002,COOKING KNOB RR-50A,Rp35.742,,32200,1
R07/KSC-0001,VALVE ASSY RR-50A,Rp618.270,,557000,4
R07/KSK-0001,PIEZO MECHANISM ASSY FOR RR-50A,Rp229.770,,207000,5
R07/S-KSN-1001,KEEP WARM NOZZLE ASSY FOR LPG  RR-50A,Rp46.620,,42000,4
R12/C36U-5-S,MODULATING VALVE WITH SOLENOID RDT-600,Rp799.600,,720360,2
R12/RD45-200,INNER FILTER RDT-600,Rp70.973,,63940,5
R12/RD60-19-SP,FAN BELT SET RDT-600,Rp184.327,,166060,5
R12/RDT40-63X05,EXHAUST FAN RDT-600,Rp186.880,,168360,2
R12/RDT40S-75-DX01,T PULLEY ASSEMBLY RDT-600,Rp83.250,,75000,5
R12/RDT40S-91,DRUM BELT RD-40 NZ/RDT-600,Rp226.706,,204240,3
R12/RDT40SF-56-1,PLASTIC HEAD SCREW,Rp23.310,,21000,1
RB-321X01-E,WOK ADAPTOR (RB-2GH) ENAMEL,Rp29.970,,27000,4
RB-344-HS,VENTURY BURNER (HP-SILVER),Rp156.244,,140760,5
RB2EH-250-2,MAIN HARNESS ASSY (RB-2EHB) GEN,Rp27.750,,25000,1
RB3G-210GX02,ELECTRODE (RB-2EH/3SS),Rp8.880,,8000,5
RB3GH-117-E,BURNER COVER (RB-2GH) ENAMEL,Rp21.090,,19000,5
RB3RHS-127-650,ELECTRODE ASSY L=650,Rp19.425,,17500,3
RB3RHS-156-1SL,KNOB ASSY (SILVER) RB-3SS,Rp37.784,,34040,2
RB3SS-0201-SR,PACKING COVER (H),Rp49.950,,45000,2
RB4E-323-011-AX01,KNOB ASSY (BLACK) RB-3/4 (MARKING),Rp13.320,,12000,10
RB712-023,WOK ADAPTOR (RB-3SS),Rp98.035,,88320,5
RG-622MS,REGULATOR,Rp183.816,,165600,22
RH401961,SMELL REDUCING FILTER,Rp38.806,,34960,10
RH500261X01,LAMP (LED CANDLE),Rp31.080,,28000,5
RI-300-002,BURNER BODY,Rp163.392,,147200,10
RI-300-005,BURNER HEAD,Rp92.929,,83720,10
RI-300-006,KNOB ASSY (RI-300HP),Rp8.880,,8000,5
RI-300-007,GAS VALVE TOTAL ASSY,Rp164.413,,148120,12
RI-602-151-3,BURNER SUPPORT RI-602/522,Rp15.540,,14000,8
RI-602-157-0.95X02,SUPER NOZZLE DIA. 0.95 F/BIG BURNER (LPG),Rp21.090,,19000,5
RI-602-185-0.35X01,SUPER NOZZLE DIA. 0.35 F/SIMMER TTC BURNER (LPG),Rp21.090,,19000,10
RI52-238-1,SUN BURNER ASSY (NEW),Rp31.080,,28000,6
RI52-241-E,TOP BURNER COVER RI-302 (ENAMEL),Rp8.880,,8000,5
RI52-263,LEG ASSY,Rp6.660,,6000,7
RI52-273-1-E,PAN SUPPORT ASSY (ENAMEL) RI-512/3/4 (DIA. 112) 6 LEG,Rp31.080,,28000,5
RI52-273-3-E,PAN SUPPORT ASSY (ENAMEL) RI-712 (DIA. 125) NEW,Rp31.080,,28000,5
RI52-273-4-E,PAN SUPPORT ASSY (ENAMEL) RI-712 (DIA. 112) NEW,Rp33.300,,30000,2
RI52-277-1,KNOB ASSY (BLACK),Rp8.880,,8000,9
RI52-278-1-E,PAN SUPPORT ASSY (ENAMEL) RI-5/RI-3 (DIA.112) ANTI SLIP,Rp29.970,,27000,2
RI52-278-2-E,PAN SUPPORT ASSY (ENAMEL) RI-5/RI-3 (DIA.96) ANTI SLIP,Rp29.970,,27000,5
RI7-204-1,BURNER SUPPORT RI-712,Rp22.200,,20000,3
RI7-211-1,KNOB ASSY (BLACK) RI-712,Rp8.880,,8000,3
RI7-306X02-E,PAN SUPPORT ASSY DIA. 112 RI-712GA (ENAMEL),Rp33.300,,30000,2
RIT-0244-1X01,BURNER BRACKET TTC 7 TYPE,Rp8.880,,8000,2
RIT-0272X03,BURNER HEAD (SMALL NEW),Rp33.700,,30360,521
RIT-0273X05,BURNER HEAD (BIG NEW),Rp47.996,,43240,
RIT-0293,BURNER HEAD (NANO),Rp34.410,,31000,S Akhir
RT-570-128,SMALL BURNER ASSY (RI-5/RI-6),Rp29.970,,27000,2
RT-570-128-2,NANO BURNER ASSY (RI-511),Rp27.750,,25000,1
RT-570-131,BIG BURNER ASSY (RI-5/RI-6),Rp31.080,,28000,2
TL-289-022-2A,GAS VALVE TL-289RI TOTAL ASSY A,Rp174.270,,157000,2
TL-289-022-TA,GAS VALVE TOTAL ASSY,Rp107.670,,97000,2
TL287-017,KNOB ASSY (TL/HP),Rp8.880,,8000,2
TL287-017x01,KNOB ASSY (TL/HP),Rp8.880,,8000,2
V569-00-100,PIEZO UNIT (R/L),Rp8.880,,8000,5
V569-00-300,PIEZO UNIT (CENTER),Rp13.320,,12000,1
VB0233-2TB-1.28,"GAS VALVE TOTAL ASSY 1,28 (BIG)",Rp88.844,,80040,1
VB0233-2TS,GAS VALVE TOTAL ASSY (SMALL),Rp89.866,,80960,3
1M90020A,END BRACKET (A) - JET-108 BIT (SPARE PART),Rp112.843,,101660,2
1P90257A,SMALL TANK V.E - PS-130 BIT SPARE PART,Rp89.355,,80500,2
1P90260A,CASING - PS-128 BIT SPARE PART,Rp173.093,,155940,5
1P90265A,CASING - PS-130 BIT SPARE PART,Rp212.920,,191820,3
1P90306A,SC-020 BIT - AUTOMATIC PRESSURE CONTROL,Rp343.123,,309120,5
2M90061A,FAN COVER - PS-226 BIT,Rp19.425,,17500,2
2M90125A,MOTOR ASM - PS-116 BIT (SPARE PART),Rp267.554,,241040,1
2M90186A,FAN COVER - PS-116 BIT,Rp16.650,,15000,6
2M90199B,MOTOR ASM - 100W GREEN 100 (SPARE PARTS),Rp402.863,,362940,7
2M90248C,MOTOR ASM - JET-250 BIT ( SPARE PART ),Rp745.920,,672000,7
2M90362A,MOTOR ASM - 125W COMMON SPARE PART,Rp328.826,,296240,2
2M90479A,MOTOR ASM - PS- 221 BIT (SPARE PART),Rp514.685,,463680,2
2M90592B,MOTOR ASM - PL-122 BIT ( SPARE PART ),Rp327.450,,295000,3
2P10378C,IMPELLER COVER - PN-125 BIT (SPARE PART),Rp31.080,,28000,4
2P90014A,DIFFUSER - PC-260 BIT,Rp44.933,,40480,4
2P90074A,IMPELLER COVER - PS-226 BIT,Rp138.883,,125120,2
2P90097A,TANK ASM - PS-103 BIT SPARE PART,Rp319.125,,287500,2
2P90161A,SMALL TANK 1/2 INCH (WLD LES) - PS-135 E SPARE PART,Rp64.846,,58420,2
2P90227B,FLOW SWITCH ASM (MAIN UNIT) - PB-228 BIT ( SPARE PART ),Rp233.100,,210000,5
2P90658A,IMPELLER COVER - PS-126 BIT (SPARE PART),Rp34.210,,30820,2
2P90659A,IMPELLER COVER - PS-130 BIT (SPARE PART),Rp83.250,,75000,2
2P90690A,IMPELLER COVER - PS-226 BIT (SPARE PART),Rp138.883,,125120,2
2P90692A,IMPELLER COVER - PS-221BIT (SPARE PART),Rp51.571,,46460,6
2P90695C,FAN COVER - COMMON ADC ( DARK BLUE ),Rp16.650,,15000,5
2P90695F,FAN COVER - COMMON ADC ( DARK BLUE ) RE-COPO,Rp16.650,,15000,2
3890KP3201A,PRESSURE SWITCH ASM - TYPE PM5,Rp126.629,,114080,3
3M90018A,FAN - PC-260 BIT,Rp11.655,,10500,3
3M90019A,FAN COVER - PC-260 BIT,Rp23.865,,21500,3
3M90022B,"CAPACITOR - 14UF, 450VAC PC-260",Rp106.205,,95680,3
3M90072A,FAN - PS-123 BIT,Rp6.660,,6000,5
3M90081A,FAN COVER - JET-100 BIT,Rp21.090,,19000,4
3M90106A,"CAPACITOR - 20UF, 450VAC PC-375",Rp84.760,,76360,2
3M90119D,FAN COVER (PP)BLUE CE - COMMON,Rp18.315,,16500,2
3M90203A,CONDENSER COVER SNI - COMMON,Rp25.530,,23000,5
3M90204A,CONDENSER COVER SNI - PS-226/230 BIT,Rp18.315,,16500,3
3M90294A,FAN COVER - JET-300 BIT/400 BIT,Rp17.760,,16000,3
3M90331C,CAPACITOR - 30UF 300 VAC ( SPARE PART ),Rp72.150,,65000,3
3M90359C,CAPACITOR W/TERMINAL - PS-133 BIT ( SPARE PART ),Rp33.300,,30000,3
3M90365A,"CAPACITOR - 16UF, 370VAC PS-221 BIT",Rp44.933,,40480,5
3P10022C,MECHANICAL SEAL - COMMON ( SPARE PART ),Rp27.750,,25000,5
3P10030A,"MECHANICAL SEAL - D 15, L25 PC-250 BIT",Rp49.950,,45000,2
3P10030D,"MECHANICAL SEAL - D15, L25 PS-226 BIT ( SPARE PART )",Rp49.018,,44160,4
3P10698A,FLANGE - PS-126 BIT,Rp10.545,,9500,5
3P10761A,AIR CHARGER ASM - PC-250 BIT,Rp59.740,,53820,1
3P10799C,IMPELLER (D-TYPE) - PS-126 BIT ( SPARE PART ),Rp59.740,,53820,2
3P10815A,CHECK VALVE - PS-126 BIT,Rp9.435,,8500,2
3P90028B,MECHANICAL SEAL - PC-260 BIT (BURGMAN),Rp59.740,,53820,3
3P90035A,PRESSURE GAUGE - PC-260 BIT,Rp58.719,,52900,7
3P90053F,"CAPACITOR - 8UF, 450VAC ( SPARE PART )",Rp33.300,,30000,7
3P90090A,IMPELLER - PS-116 BIT,Rp46.975,,42320,2
3P90091B,MECHANICAL SEAL - PS-116 BIT ( SPARE PART ),Rp19.425,,17500,5
3P90113A,VENTURY - PC-260 BIT(SINOMOLD),Rp61.783,,55660,5
3P90118A,IMPELLER - PS-226 BIT,Rp64.846,,58420,3
3P90143B,PRESSURE SWITCH ASM - PS-130 BIT / PS-135 E ( SPARE PART ),Rp71.995,,64860,2
3P90178A,EJECTOR BODY ASSY - PC-260 BIT SPARE PART,Rp141.947,,127880,2
3P90209A,SMALL TANK (V.E) - PS-230 BIT (SPARE PART),Rp138.373,,124660,2
3P90395B,IMPELLER ASM - PC-268 BIT SPARE PART,Rp92.929,,83720,2
3P90431A,"CAPACITOR - 12UF, 370VAC",Rp40.848,,36800,2
3P90502A,PRESSURE SWITCH ASM - PC-250 BIT (1.4-2.2),Rp80.164,,72220,2
3P90503B,PRESSURE SWITCH ASM - PS-230 BIT ( SPARE PART ),Rp76.590,,69000,2
3P90533A,MECHANICAL SEAL - PC-503 BIT,Rp49.950,,45000,2
3P90631A,IMPELLER - PS-221BIT,Rp51.571,,46460,2
3P90813A,IMPELLER  - PB-228 BIT,Rp51.571,,46460,2
4M90001A,BEARING - 6201RZ,Rp21.090,,19000,2
4M90038A,BEARING - 6202ZZ PC-250 BIT,Rp23.865,,21500,5
4M90058A,BEARING - 6204-RZ PC-502 BIT,Rp33.189,,29900,3
4P02864A,O-RING 64.4 - PS-102 BIT,Rp6.660,,6000,238
4P10974A,HOPPER CAP - PS-126 BIT,Rp7.770,,7000,
4P11451A,DRAIN CAP - PC-250 BIT,Rp12.765,,11500,2913
4P11550A,O-RING 15.5 - PN-125 BIT,Rp6.660,,6000,
4P11750A,FOOT VALVE CASE ASM - PC-250 BIT/PC-260 BIT (NEW),Rp57.187,,51520,2913
4P90068A,O-RING (PUMP BODY) 164X3.3 - PC-260 BIT,Rp11.655,,10500,
4P90069B,DIFFUSER GASKET (T=3MM) - PC-260 BIT,Rp6.660,,6000,
4P90203A,C-RING - PS-116 BIT,Rp6.660,,6000,
4P90673A,NOZZLE - JET-250 BIT,Rp8.880,,8000,
4P90931A,FLANGE 1INCH - PS-121 BIT (C.HORNG) SPARE PARTS,Rp28.305,,25500,
4P91688A,DISCHARGE FLANGE PBT - PS-226 BIT,Rp16.650,,15000,
